title	type	url_slug	venue	date	location	talk_url	description
"The effect of walking speed, slopes and stairs on dynamic mean ankle moment arm"	Talk	ASB_2021_DMAMA	45th Meeting of the American Society of Biomechanics	8-10-21	Virtual		"This presentation described findings on DMAMA in unimpaired individuals when walking at different speeds, on slopes and on stairs.

Links:

[ASB 2021 Abstract](http://kheidi.github.io/files/A_2021_ASB_DMAMA_UI.pdf)

[ASB 2021 Slides](http://kheidi.github.io/files/PRES_2021_ASB_DMAMA_UI.pptx)"
Real world whole foot ground clearance	Talk	DW_2022_3DClearance	Dynamic Walking 2022	6-13-22	"Madison, WI"		"This presentation describes our method to reconstruct whole foot movement using a single IMU and a 3D scan.

Links:

[DW 2022 Poster](http://kheidi.github.io/files/POS_2022_DW_3DClearance.pdf)

[DW 2022 Video Recording](https://mediaspace.wisc.edu/media/DW22_Fehr%2C+Heidi+-+June+14th+2022%2C+4A04A46+pm/1_63b8mj3f)"